dataset,model,model_id,lambda,loss,samples,combined,polarity,semantic
sarcastic-headlines,all-MiniLM-L6-v2,OnlineContrastive(minilm-6)(lambda=0.75),0.75,contrastive,50000,0.543,0.861,0.226
sarcastic-headlines,all-MiniLM-L6-v2,OnlineContrastive(minilm-6)(lambda=0.5),0.5,contrastive,50000,0.538,0.853,0.224
sarcastic-headlines,all-MiniLM-L6-v2,OnlineContrastive(minilm-6)(lambda=0.25),0.25,contrastive,50000,0.536,0.847,0.225
sarcastic-headlines,all-MiniLM-L6-v2,OnlineContrastive(minilm-6)(lambda=0.1),0.1,contrastive,50000,0.533,0.842,0.223
sarcastic-headlines,all-MiniLM-L6-v2,Contrastive(minilm-6)(lambda=1),1.0,contrastive,50000,0.547,0.863,0.231
sarcastic-headlines,all-MiniLM-L6-v2,Contrastive(minilm-6)(lambda=0.75),0.75,contrastive,50000,0.536,0.855,0.218
sarcastic-headlines,all-MiniLM-L6-v2,Contrastive(minilm-6)(lambda=0.5),0.5,contrastive,50000,0.529,0.849,0.21
sarcastic-headlines,all-MiniLM-L6-v2,Contrastive(minilm-6)(lambda=0.25),0.25,contrastive,50000,0.53,0.843,0.217
sarcastic-headlines,all-MiniLM-L6-v2,Contrastive(minilm-6)(lambda=0.1),0.1,contrastive,50000,0.526,0.836,0.215
sarcastic-headlines,all-MiniLM-L6-v2,Triplet(minilm-6)(lambda=10),10.0,triplet,50000,0.529,0.852,0.205
sarcastic-headlines,all-MiniLM-L6-v2,Triplet(minilm-6)(lambda=7.5),7.5,triplet,50000,0.527,0.853,0.201
sarcastic-headlines,all-MiniLM-L6-v2,Triplet(minilm-6)(lambda=5),5.0,triplet,50000,0.527,0.853,0.202
sarcastic-headlines,all-MiniLM-L6-v2,Triplet(minilm-6)(lambda=1),1.0,triplet,50000,0.556,0.876,0.237
sarcastic-headlines,all-MiniLM-L6-v2,Triplet(minilm-6)(lambda=0.1),0.1,triplet,50000,0.573,0.878,0.269
sarcastic-headlines,all-MiniLM-L6-v2,Triplet(minilm-6)(lambda=0.01),0.01,triplet,50000,0.528,0.848,0.208
sarcastic-headlines,e5-small-v2,MultipleNegatives(e5-small),,multiple_negative,50000,0.808,0.786,0.829
sarcastic-headlines,e5-small-v2,OnlineContrastive(e5-small)(lambda=1),1.0,contrastive,50000,0.86,0.914,0.806
sarcastic-headlines,e5-small-v2,OnlineContrastive(e5-small)(lambda=0.75),0.75,contrastive,50000,0.861,0.917,0.805
sarcastic-headlines,e5-small-v2,OnlineContrastive(e5-small)(lambda=0.5),0.5,contrastive,50000,0.861,0.917,0.805
sarcastic-headlines,e5-small-v2,OnlineContrastive(e5-small)(lambda=0.25),0.25,contrastive,50000,0.86,0.917,0.803
sarcastic-headlines,e5-small-v2,OnlineContrastive(e5-small)(lambda=0.1),0.1,contrastive,50000,0.857,0.915,0.799
sarcastic-headlines,e5-small-v2,Contrastive(e5-small)(lambda=1),1.0,contrastive,50000,0.855,0.915,0.795
sarcastic-headlines,e5-small-v2,Contrastive(e5-small)(lambda=0.75),0.75,contrastive,50000,0.856,0.915,0.797
sarcastic-headlines,e5-small-v2,Contrastive(e5-small)(lambda=0.5),0.5,contrastive,50000,0.856,0.916,0.795
sarcastic-headlines,e5-small-v2,Contrastive(e5-small)(lambda=0.25),0.25,contrastive,50000,0.854,0.914,0.794
sarcastic-headlines,e5-small-v2,Contrastive(e5-small)(lambda=0.1),0.1,contrastive,50000,0.85,0.91,0.791
sarcastic-headlines,e5-small-v2,Triplet(e5-small)(lambda=10),10.0,triplet,50000,0.84,0.895,0.784
sarcastic-headlines,e5-small-v2,Triplet(e5-small)(lambda=7.5),7.5,triplet,50000,0.838,0.892,0.784
sarcastic-headlines,e5-small-v2,Triplet(e5-small)(lambda=5),5.0,triplet,50000,0.839,0.893,0.785
sarcastic-headlines,e5-small-v2,Triplet(e5-small)(lambda=1),1.0,triplet,50000,0.855,0.916,0.795
sarcastic-headlines,e5-small-v2,Triplet(e5-small)(lambda=0.1),0.1,triplet,50000,0.866,0.92,0.812
sarcastic-headlines,e5-small-v2,Triplet(e5-small)(lambda=0.01),0.01,triplet,50000,0.866,0.918,0.815
sarcastic-headlines,gte-small,MultipleNegatives(gte-small),,multiple_negative,50000,0.793,0.772,0.815
sarcastic-headlines,gte-small,OnlineContrastive(gte-small)(lambda=1),1.0,contrastive,50000,0.843,0.898,0.788
sarcastic-headlines,gte-small,OnlineContrastive(gte-small)(lambda=0.75),0.75,contrastive,50000,0.844,0.897,0.791
sarcastic-headlines,gte-small,OnlineContrastive(gte-small)(lambda=0.5),0.5,contrastive,50000,0.842,0.893,0.791
sarcastic-headlines,gte-small,OnlineContrastive(gte-small)(lambda=0.25),0.25,contrastive,50000,0.841,0.896,0.787
sarcastic-headlines,gte-small,OnlineContrastive(gte-small)(lambda=0.1),0.1,contrastive,50000,0.833,0.886,0.78
sarcastic-headlines,gte-small,Contrastive(gte-small)(lambda=1),1.0,contrastive,50000,0.839,0.897,0.782
sarcastic-headlines,gte-small,Contrastive(gte-small)(lambda=0.75),0.75,contrastive,50000,0.84,0.896,0.784
sarcastic-headlines,gte-small,Contrastive(gte-small)(lambda=0.5),0.5,contrastive,50000,0.841,0.897,0.785
sarcastic-headlines,gte-small,Contrastive(gte-small)(lambda=0.25),0.25,contrastive,50000,0.836,0.892,0.779
sarcastic-headlines,gte-small,Contrastive(gte-small)(lambda=0.1),0.1,contrastive,50000,0.825,0.878,0.772
sarcastic-headlines,gte-small,Triplet(gte-small)(lambda=10),10.0,triplet,50000,0.816,0.873,0.758
sarcastic-headlines,gte-small,Triplet(gte-small)(lambda=7.5),7.5,triplet,50000,0.816,0.873,0.759
sarcastic-headlines,gte-small,Triplet(gte-small)(lambda=5),5.0,triplet,50000,0.815,0.872,0.759
sarcastic-headlines,gte-small,Triplet(gte-small)(lambda=1),1.0,triplet,50000,0.833,0.893,0.773
sarcastic-headlines,gte-small,Triplet(gte-small)(lambda=0.1),0.1,triplet,50000,0.847,0.901,0.794
sarcastic-headlines,gte-small,Triplet(gte-small)(lambda=0.01),0.01,triplet,50000,0.841,0.896,0.786
sarcastic-headlines,gte-base,MultipleNegatives(gte-base),,multiple_negative,50000,0.796,0.79,0.801
sarcastic-headlines,gte-base,OnlineContrastive(gte-base)(lambda=1),1.0,contrastive,50000,0.838,0.909,0.768
sarcastic-headlines,gte-base,OnlineContrastive(gte-base)(lambda=0.75),0.75,contrastive,50000,0.836,0.906,0.766
sarcastic-headlines,gte-base,OnlineContrastive(gte-base)(lambda=0.5),0.5,contrastive,50000,0.838,0.905,0.771
